24 HOUR VOLUME COUNT LOCATIONS,NB TOTAL,SB TOTAL,EB TOTAL, WB TOTOAL,TOTAL VOLUME,DATE
"12th St West, 1400 Blk - West of Shelly Ave",,,1881,2071,3952,9/10/2001 0:00
"13th St East, 3100 Blk - West of Airport Blvd",,,171,321,492,9/13/2007 0:00
"13th St West, 200 Blk - East of Lavaca St",,,n/a,1082,1082,6/8/2006 0:00
"13th St West, 300 Blk - West of Lavaca St",,,574,n/a,574,6/8/2006 0:00
"14 1/2 St East, 3100 blk - West of Airport Blvd",,,218,332,550,9/13/2007 0:00
"14th St East, 2000 Blk - West of Alamo St",,,201,175,376,2/27/2007 0:00
"15th St East, 400 blk - West of Red River St",,,15032,4309,19341,2/28/2005 0:00
"15th St East, 600 blk - East of Red River St",,,14443,13807,28250,1/31/2011 0:00
"15th St East, 600 blk - East of Red River St",,,15585,14070,29655,4/8/2009 0:00
"15th St East, 700 blk - At IH 35",,,9199,5717,14916,11/12/2008 0:00
"15th St West, 1100 blk - West of Lamar Blvd Bridge",,,15208,13365,28573,1/26/2011 0:00
"15th St West, 1100 blk - West of Lamar Blvd North",,,16158,13765,29923,3/25/2009 0:00
"16th St East, 3100 blk - West of Airport Blvd",,,175,170,345,9/13/2007 0:00
"16th Street East, 3000 blk - West of McKinney",,,93,122,215,9/24/2012 0:00
"18th St East, 200 blk - East of Brazos St                        1-way WB",,,n/a,639,639,7/6/2005 0:00
"18th St East, 200 blk - East of Brazos St                        1-way WB",,,n/a,688,688,10/4/2004 0:00
"1st Street South, 100 blk - North of Riverside Dr",11516,15316,,,26832,6/21/2005 0:00
"1st Street South, 100 blk - North of Riverside Dr",9989,12953,,,22942,2/6/2002 0:00
"1st Street South, 100 blk - North of Riverside Dr",8092,10391,,,18483,7/10/2001 0:00
"1st Street South, 100 blk - On the Bridge",15588,16987,,,32575,10/20/2010 0:00
"1st Street South, 100 blk - On the Bridge",15181,17848,,,33029,4/8/2009 0:00
"1st Street South, 1000 blk - North of Copeland St",12250,12400,,,24650,2/25/2009 0:00
"1st Street South, 11100 blk - North of FM 1626",1085,1180,,,2265,9/10/2001 0:00
"1st Street South, 1300 blk - North of W. Elizabeth St",10099,9033,,,19132,10/27/2004 0:00
"1st Street South, 2000 blk - South of W. Mary St",9717,9721,,,19438,1/6/2005 0:00
"1st Street South, 2200 blk - South of W. Live Oak St",12040,12022,,,24062,2/25/2009 0:00
"1st Street South, 3500 blk - South of W. Alpine Rd",11807,11016,,,22823,6/21/2005 0:00
"1st Street South, 3700 blk - South of South Center St",15084,14111,,,29195,2/25/2009 0:00
"1st Street South, 5200 blk - North of Ramble Ln",10646,10061,,,20707,7/21/2003 0:00
"1st Street South, 5500 blk - North of W. Stassey Ln",11341,10702,,,22043,1/22/2003 0:00
"1st Street South, 9100 blk - South of Slaughter Ln",4176,3203,,,7379,11/13/2006 0:00
"1st Street South, 9100 blk - South of Slaughter Ln",1572,1682,,,3254,9/10/2001 0:00
"22nd St East, 900 blk - East of San Gabriel St",,,1060,1033,2093,12/10/2003 0:00
"23rd St West, 600 blk - West of Nueces St",,,354,1036,1390,11/18/2003 0:00
"24th St West, 1500 blk - East of Windsor Rd",,,9161,9391,18552,3/25/2009 0:00
"24th St West, 600 blk - East of Rio Grande St",,,7886,6457,14343,11/15/2007 0:00
"25th St West, 1200 blk - East of Longview St",,,1139,931,2070,2/7/2007 0:00
"25th St West, 1300 blk - West of Longview St",,,1083,1086,2169,2/1/2007 0:00
"25th St West, 500 blk - East of Seton Ave",,,1005,1505,2510,2/9/2006 0:00
"25th St West, 600 blk - West of Seton Ave",,,922,1097,2019,2/9/2006 0:00
"25th St West, 700 blk - East of Pearl St",,,929,1115,2044,5/9/2007 0:00
"26th St West, 1000 blk - West of San Gabriel St",,,678,1202,1880,9/20/2004 0:00
"26th St West, 600 blk - West of Seton Ave",,,922,1097,2019,2/9/2006 0:00
"26th St West, 900 blk - East of San Gabriel St",,,1991,1466,3457,9/20/2004 0:00
"29th St West, 1100 blk - East of Wooldridge Dr",,,4222,3966,8188,5/7/2007 0:00
"29th St West, 1200 blk - East of Wooldridge Dr",,,4089,4301,8390,2/26/2009 0:00
"29th St West, 1500 blk - West of Harris Blvd",,,1581,2468,4049,5/5/2009 0:00
"29th St West, 1500 blk - West of Harris Blvd",,,2120,2615,4735,5/7/2007 0:00
"29th St West, 300 blk - East of Hemphill Park                  1-way EB",,,1244,n/a,1244,3/26/2003 0:00
"29th St West,,1700 blk - West of Jefferson St",,,178,122,300,10/1/2013 0:00
"29th St West,1700 blk - West of Jefferson St",,,178,122,300,10/1/2013 0:00
"2nd St East, 2300 blk - East of Mildred St",,,1315,1598,2913,5/8/2001 0:00
"2nd St South, 3600 blk - South of Gamez Cv ",795,425,,,1220,3/5/2012 0:00
"2nd St West, 200 blk - East of Lavaca St                        1-way WB",,,n/a,6570,6570,10/15/2002 0:00
"30th St East, 1100 blk - East of IH35 ESR",,,209,346,555,3/29/2004 0:00
"30th St East, 500 blk - East of Fruth St",,,1383,2435,3818,5/22/2001 0:00
"30th St East,100 blk - East of Cedar St",,,2758,2835,5593,5/22/2001 0:00
"30th St West, 1500 blk - West of Kerby Ln",,,209,190,399,11/27/2007 0:00
"30th St West, 700 blk - West of Salado St",,,675,679,1354,10/1/2008 0:00
"31st St East, 100 blk - East of Helms St",,,2261,2053,4314,5/8/2007 0:00
"31st St East, 1100 blk - East of IH35 ESR",,,185,164,349,3/29/2004 0:00
"31st St East, 200 blk - West of Walling Dr",,,1963,1861,3824,10/8/2008 0:00
"31st St West, 600 blk - West of Guadalupe St",,,372,441,813,10/14/2009 0:00
"31st St West, 700 blk - East of West Ave",,,280,260,540,9/13/2005 0:00
"31st St West, 700 blk - East of West Ave",,,279,319,598,9/2/2003 0:00
"31st St West, 800 blk - West of West Ave",,,286,203,489,9/13/2005 0:00
"32nd St East, 1100 blk - East of IH35",,,465,653,1118,3/29/2004 0:00
"32nd St East, 1700 blk - East of Cherrywood Rd",,,132,100,232,4/29/2004 0:00
"32nd St East, 300 blk - West of Walling Dr",,,589,587,1176,10/20/2003 0:00
"32nd St East, 700 blk - East of Fairfax Walk",,,2171,2402,4573,5/8/2007 0:00
"32nd St East, 700 blk - East of Harris Park Ave",,,2752,2881,5633,5/5/2003 0:00
"32nd St East, 900 blk - East of Red River St",,,4225,2524,6749,4/28/2011 0:00
"32nd St East, 900 blk - East of Red River St",,,4740,3177,7917,3/4/2009 0:00
"32nd St East, 900 blk - East of Red River St",,,4490,3620,8110,6/9/2003 0:00
"32nd St West, 600 blk - East of King St",,,466,360,826,9/13/2005 0:00
"32nd St West, 700 blk - East of Kings Ln",,,310,382,692,10/8/2008 0:00
"32nd St West, 700 blk - East of West Ave",,,418,313,731,9/13/2005 0:00
"32nd St West, 700 blk - West of King St",,,424,304,728,9/13/2005 0:00
"32nd St West, 800 blk - West of West Ave",,,439,305,744,9/13/2005 0:00
"32nd St, West, 1500 blk - West of Churchill Dr",,,128,348,476,3/31/2014 0:00
"33rd St, East, 400 blk - East of Tom Green St",,,422,383,805,11/8/2004 0:00
"33rd St, West, 300 blk - East of Hemphill Park (West)",,,200,208,408,8/14/2007 0:00
"33rd St, West, 400 blk - West of Hemphill Park (West)",,,246,171,417,8/14/2007 0:00
"33rd St. East, 400 blk - East of Tom Green St",,,495,376,871,2/11/2009 0:00
"34th St East, 1500 blk - East of Kern Ramble",,,50,70,120,11/5/2009 0:00
"34th St West, 1500 blk - East of Kerbey Ln",,,891,1866,2757,4/27/2004 0:00
"34th St West, 1500 blk - West of Mills St",,,915,1553,2468,11/27/2007 0:00
"34th St West, 1600 blk - West of Kerbey Ln",,,775,1793,2568,4/27/2004 0:00
"34th St West, 1700 blk - West of Bryker Dr",,,311,324,635,11/27/2007 0:00
"34th St West, 300 blk - East of Hemphill Park",,,1147,792,1939,10/20/2003 0:00
"34th St West, 400 blk - East of Fruth St",,,1270,895,2165,5/8/2007 0:00
"35th St (CutOff), 1400 blk - North of West 35th St",4118,4750,,,8868,11/5/2009 0:00
"35th St East, 200 blk - West of Grooms St",,,342,525,867,5/17/2006 0:00
"35th St East, 300 blk - East of Grooms St",,,269,347,616,5/8/2007 0:00
"35th St East, 300 blk - East of Grooms St",,,412,244,656,5/17/2006 0:00
"35th St East, 300 blk - West of Tom Green St",,,288,354,642,10/20/2003 0:00
"38th 1/2 St East, 1200 blk - West of Werner Ave",,,5914,6107,12021,9/29/2003 0:00
"38th 1/2 St East, 1200 blk - West of Werner Ave",,,6755,6100,12855,12/5/2002 0:00
"38th 1/2 St East, 1500 blk - West of Maplewood Ave",,,3358,3581,6939,2/17/2010 0:00
"38th 1/2 St East, 1500 blk - West of Maplewood Ave",,,4096,4606,8702,9/25/2002 0:00
"38th 1/2 St East, 1700 blk - West of Vineland Dr",,,2714,2712,5426,2/17/2010 0:00
"38th 1/2 St East, 1700 blk - West of Vineland Dr",,,3349,3211,6560,9/29/2003 0:00
"38th St West, 1400 blk - East of Crawford St",,,15373,14510,29883,6/27/2005 0:00
"38th St West, 200 blk - West of Cedar St",,,11814,12818,24632,6/28/2005 0:00
"39 1/2 St West, 1000 blk - East of Medical Pkwy",,,740,898,1638,5/10/2007 0:00
"39 1/2 St West, 1400 blk - East of Peterson Ave",,,356,433,789,5/8/2007 0:00
"3rd St East, 1900 blk - East of Chicon St",,,365,462,827,5/1/2003 0:00
"3rd St East, 2000 blk - East of Elkhart St",,,342,400,742,2/24/2010 0:00
"3rd St East, 2100 blk - East of Elkhart St",,,374,365,739,5/1/2003 0:00
"3rd St East, 600 blk - East of Red River St",,,34,318,352,3/2/2009 0:00
"3rd St West, 800 blk - East of Bowie St",517,594,,,1111,11/29/2011 0:00
"40th St East, 1800 blk - West of Airport Blvd",,,76,62,138,2/18/2010 0:00
"40th St East, 1800 blk - West of Airport Blvd",,,62,60,122,3/30/2004 0:00
"40th St East, 300 blk - West of Ave H",,,532,630,1162,3/22/2005 0:00
"40th St East, 400 blk - East of Ave H",,,605,642,1247,3/22/2005 0:00
"40th St West, 1000 blk - East of Marathon Blvd",,,1075,904,1979,5/10/2007 0:00
"40th St West, 1200 blk - East of Bailey Ln",,,696,626,1322,5/8/2007 0:00
"40th St West, 1400 blk - West of Burnet Rd",,,338,521,859,5/29/2008 0:00
"40th St West, 1600 blk - West of Ramsey Ave",,,329,527,856,5/8/2007 0:00
"42nd St West, 1100 blk - East of Bellvue Ave",,,401,510,911,4/16/2008 0:00
"42nd St West, 1200 blk - East of Medical Pkwy",,,552,801,1353,4/22/2008 0:00
"42nd St West, 1300 blk - West of Medical Pkwy",,,525,462,987,4/22/2008 0:00
"43rd St West, 1100 blk - East of Bellvue Ave",,,307,357,664,4/16/2008 0:00
"43rd St West, 1200 blk - West of Bellvue Ave",,,280,342,622,10/11/2007 0:00
"44th St West, 1200 blk - West of Bellvue Ave",,,383,710,1093,4/23/2008 0:00
"44th St West, 1200 blk - West of Bellvue Ave",,,334,695,1029,10/11/2007 0:00
"44th St West, 1300 blk - East of Burnet Rd",,,417,329,746,4/14/2005 0:00
"44th St West, 1300 blk - West of Burnet Rd",,,228,296,524,1/29/2009 0:00
"44th St West, 1400 blk - West of Burnet Rd",,,310,428,738,4/14/2005 0:00
"44th St West, 1400 blk - West of Rosedale Ave",,,110,198,308,1/26/2009 0:00
"45th St East, 200 blk - West of Avenue G",,,8140,7859,15999,5/23/2007 0:00
"45th St East, 600 blk - West of Eilers Ave",,,7793,7170,14963,5/23/2007 0:00
"45th St East, 600 blk - West of Eilers Ave",,,8523,7664,16187,11/13/2002 0:00
"45th St East, 700 blk - East of Eilers Ave",,,8847,7898,16745,5/15/2002 0:00
"45th St West, 1600 blk - East of Shoalwood",,,8351,8538,16889,5/23/2007 0:00
"45th St West, 1600 blk - West of Ramsey Ave",,,7682,7844,15526,9/10/2007 0:00
"45th St West, 1700 Blk - West of Sinclair Ave",,,9264,8536,17800,2/23/2002 0:00
"45th St West, 200 blk - East of Ave C",,,9282,8763,18045,5/15/2005 0:00
"45th St West, 2500 blk - West of Edendale Court",,,6634,8167,14801,9/10/2007 0:00
"45th St West, 2600 blk - West of Chappero",,,7075,8121,15196,9/10/2007 0:00
"45th St West, 2600 blk - West of Erin Ln",,,7556,8800,16356,5/23/2007 0:00
"45th St West, 2700 Blk - East of Chiappero Trl",,,8592,9700,18292,2/23/2002 0:00
"45th St West, 2800 blk - West of Placid Place",,,7998,7186,15184,9/10/2007 0:00
"45th St West, 800 blk - East of N. Lamar Blvd",,,10818,9596,20414,5/15/2002 0:00
"45th St West, 800 blk - West of Guadalupe St",,,8674,8285,16959,5/23/2007 0:00
"46th St East/West, 100 blk - At Speedway",,,889,223,1112,9/12/2006 0:00
"46th St West, 1400 blk - East of Rosedale Ave",,,260,337,597,4/16/2008 0:00
"46th St West, 1500 blk - West of Rosedale Ave",,,137,191,328,1/28/2008 0:00
"46th St West, 1800 blk - West of Shoalwood Ave",,,128,243,371,4/16/2008 0:00
"46th St West, 200 Blk - West of Avenue D",,,1159,629,1788,2/8/2006 0:00
"46th St West, 400 Blk - West of Avenue B",,,1320,778,2098,2/8/2006 0:00
"47th St East, 600 blk - East of Evans Ave",,,278,266,544,9/30/2013 0:00
"47th St West, 1400 blk - East of Rosedale Ave",,,289,251,540,4/16/2008 0:00
"47th St West, 1500 blk - East of Rosedale Ave",,,151,165,316,1/28/2008 0:00
"47th St West, 600 blk - East of Evans Ave",,,278,266,544,9/3/2013 0:00
"49th St East, 700 blk - West of Caswell Ave",,,156,199,355,5/22/2003 0:00
"49th St East, 800 blk - East of Caswell Ave",,,205,247,452,5/22/2003 0:00
"49th St West, 2200 blk - East of Sinclair Ave",,,279,423,702,1/28/2008 0:00
"4th St East, 2900 blk - East of Broadway",,,182,142,324,10/6/2008 0:00
"4th St East, 2900 blk - West of Linden St",,,169,159,328,4/13/2004 0:00
"4th St East, 600 blk - East of Red River St",,,n/a,1161,1161,3/2/2009 0:00
"50th St West, 2800 blk - West of Placid Place",,,97,118,215,4/4/2001 0:00
"51st St East, 1200 blk - West of the Apartment Drwy",,,8601,12554,21155,3/4/2010 0:00
"51st St East, 1300 blk - West of Berkman Dr",,,8950,10449,19399,10/3/2001 0:00
"51st St East, 1400 blk - West of Robert Mueller Blvd",,,10588,11622,22210,9/12/2013 0:00
"51st St East, 1600 blk - West of Berkman Dr",11123,11577,,,22700,3/20/2013 0:00
"51st St East, 1700 blk - East of Berkman Dr",8131,8351,,,16482,3/20/2013 0:00
"51st St East, 1800 blk - East of Berkman Dr",,,6820,7581,14401,10/3/2001 0:00
"51st St East, 2100 blk - West of Westbrook",,,8474,8479,16953,2/25/2015 0:00
"51st St East, 2100 blk - West of Westbrook Dr",,,6705,6816,13521,2/24/2010 0:00
"51st St East, 2100 blk - West of Westbrook Dr",,,6817,6828,13645,2/18/2009 0:00
"51st St East, 2200 blk - West of Old Manor Rd",,,5926,6147,12073,2/12/2004 0:00
"51st St East, 2300 blk - East of Old Manor Rd",,,3930,3631,7561,2/12/2004 0:00
"51st St East, 2900 blk - West of Blue Spruce Circle",,,4196,3961,8157,3/3/2010 0:00
"51st St East, 600 blk - West of Martin Ave",,,3580,4130,7710,9/26/2011 0:00
"51st St East, 700 blk - West of Caswell Ave",,,4460,5617,10077,5/15/2002 0:00
"51st St East, 800 blk - West of Bennett Ave",,,5429,6821,12250,3/20/2001 0:00
"51st St East, 900 blk - East of Bennett Ave",,,5219,6260,11479,3/4/2010 0:00
"51st St East, 900 blk - East of Bennett Ave",,,4334,5945,10279,9/18/2006 0:00
"51st St East, 900 blk - East of Bennett Ave",,,5401,6613,12014,8/7/2001 0:00
"51st St West, 200 blk - East of Leralynn St",,,4661,5404,10065,5/8/2008 0:00
"52nd St East, 1000 blk - East of Harmon Ave",,,84,216,300,2/5/2004 0:00
"52nd St East, 700 blk - East of Eilers Ave",,,55,35,90,10/19/2011 0:00
"52nd St East, 900 blk - East of Bennett Ave",,,148,162,310,6/11/2009 0:00
"52nd St East, 900 blk - East of Bennett Ave",,,246,165,411,6/4/2001 0:00
"53 1/2 St, East, 900 blk - West of Bennett Avenue",,,652,1457,2109,3/5/2014 0:00
"53rd 1/2 St East, 900 blk - East of Bennett Ave",,,571,1191,1762,1/28/2004 0:00
"53rd 1/2 St East, 900 blk - East of Bennett Ave",,,749,782,1531,6/4/2001 0:00
"53rd 1/2 St East, 900 blk - West of Bennett Ave",,,677,1174,1851,3/12/2002 0:00
"53rd St East, 1000 blk - East of Harmon Ave",,,92,241,333,2/5/2004 0:00
"53rd St East, 600 blk - West of Martin Ave",,,2827,3111,5938,9/26/2011 0:00
"53rd St East, 600 blk - West of Martin Ave ",,,3004,2979,5983,10/19/2011 0:00
"53rd St East, 900 blk - East of Bennett Ave",,,164,134,298,6/4/2001 0:00
"56th St East, 300 blk - East of Avenue G",,,283,378,661,2/12/2014 0:00
"5th St East, 300 blk - East of San Jacinto Blvd (Sunday)  1-way EB",,,8211,n/a,8211,2/2/2003 0:00
"5th St East, 3000 blk - East of Linden St",,,1253,1666,2919,3/25/2003 0:00
"5th St East, 3400 blk - East of Allen St",,,999,1139,2138,3/24/2003 0:00
"5th St East, 4800 blk - East of Springdale Rd",,,814,915,1729,3/26/2003 0:00
"5th St East, 5200 blk - East of Shady Ln",,,562,761,1323,3/24/2003 0:00
"5th St East, 600 blk - East of Red River St",,,7036,,7036,1/22/2008 0:00
"5th St East, 700 blk - West of IH 35 West Service Rd",,,10971,,10971,4/9/2009 0:00
"5th St South, 1800 blk - South of W. Annie St",2115,1609,,,3724,5/22/2013 0:00
"5th St South, 2600 blk - North of Cumberland Rd",2476,2204,,,4680,3/8/2005 0:00
"5th St South, 2600 blk - South of Herndon Ln",2247,2047,,,4294,12/11/2008 0:00
"5th St South, 2700 blk - South of Cumberland Rd",1934,1682,,,3616,3/8/2005 0:00
"5th St South, 3100 blk - North of Barton Skyway",1921,1665,,,3586,9/1/2004 0:00
"5th St South, 3200 blk - South of Barton Skyway",1460,942,,,2402,9/1/2004 0:00
"5th St West, 1100 blk - West of Baylor St                      1-way EB",,,23086,,23086,1/26/2011 0:00
"5th St West, 1100 blk - West of Baylor St                      1-way EB",,,23665,,23665,3/25/2009 0:00
"5th St West, 1100 blk - West of Baylor St                      1-way EB",,,22744,,22744,7/25/2001 0:00
"5th St West, 700 blk - West of Rio Grande St",,,19492,,19492,7/26/2011 0:00
"5th St West, 700 blk - West of Rio Grande St",,,,19249,19249,6/28/2005 0:00
"6th St East, 2200 blk - East of Robert T Martinez Jr",,,1416,1669,3085,11/18/2003 0:00
"6th St East, 600 blk - East of Red River St",,,,13159,13159,1/22/2008 0:00
"6th St East, 700 blk - East of Sabine St",,,,11642,11642,8/9/2011 0:00
"6th St West, 1100 blk - West of Baylor St                      1-way WB",,,,21319,21319,3/11/2009 0:00
"6th St West, 1100 blk - West of Baylor St                      1-way WB",,,,25950,25950,7/25/2001 0:00
"Amherst Dr, 12500 blk - South of Parmer Ln",5150,3739,,,8889,8/25/2003 0:00
"6th St West, 1700 blk - West of Campbell St                  1-way WB",,,,25216,25216,6/23/2003 0:00
"6th St West, 800 blk - East of Henderson St.                  1-way WB",,,,28633,28633,7/17/2002 0:00
"7th St East, 1400 blk - East of Navasota St",,,12035,11628,23663,11/20/2006 0:00
"7th St East, 1900 blk - East of Chicon St",,,10550,10488,21038,2/19/2009 0:00
"7th St East, 2100 blk - West of Robert T. Martinez Jr. Blvd",,,12810,13111,25921,6/16/2005 0:00
"7th St East, 2700 blk - East of Calles St",,,13157,13402,26559,3/22/2001 0:00
"7th St East, 2800 blk - East of Pleasant Valley Rd",,,9180,10427,19607,3/25/2003 0:00
"7th St East, 300 blk - East of San Jacinto Blvd (Sunday)  1-way EB ",,,7494,,7494,1/26/2003 0:00
"7th St East, 3400 blk - East of Allen St",,,9382,10708,20090,3/25/2003 0:00
"7th St East, 400 blk - West of Neches St                        1-way EB",,,12801,,12801,9/20/2004 0:00
"7th St East, 4800 blk - East of Springdale Rd",,,8212,9706,17918,3/25/2003 0:00
"7th St East, 5200 blk - East of Shady Ln",,,7292,9382,16674,3/25/2003 0:00
"7th St East, 600 blk - East of Red River St                      1-way EB",,,16938,,16938,4/29/2009 0:00
"7th St West, 500 blk - West of San Antonio St",,,1201,148,1349,2/6/2006 0:00
"8th St East, 1000 blk - West of Waller ST",,,67,47,114,9/27/2005 0:00
"8th St East, 1200 blk - West of Navasota St",,,60,23,83,9/27/2005 0:00
"8th St East, 600 blk - East of Red River St",,,,9821,9821,4/1/2009 0:00
"8th St East, 600 blk - East of Red River St",,,,9482,9482,1/23/2008 0:00
"8th Street East, 2000 blk - West of Mill Street",,,169,137,306,9/20/2012 0:00
"9th St East, 1000 blk - West of Waller St",,,79,34,113,9/27/2005 0:00
"9th St East, 1200 blk - West of Navasota St",,,84,68,152,9/27/2005 0:00
"9th St East, 200 blk - West of San Jacinto Blvd                1-way EB",,,3372,,3372,5/6/2003 0:00
"9th St East, 600 blk - East of Red River St",,,1310,,1310,3/3/2009 0:00
"9th St East, 600 blk - East of Red River St",,,1506,,1506,1/22/2008 0:00
"9th St West, 1000 blk - West of N. Lamar Blvd",,,1172,955,2127,1/24/2001 0:00
"9th St West, 500 blk - West of San Antonio St",,,3240,2380,5620,1/11/2001 0:00
"9th St West, 800 blk - West of West Ave",,,2819,1289,4108,1/30/2003 0:00
"9th St West, 900 blk - East of N. Lamar Blvd",,,2202,1358,3560,1/30/2003 0:00
"Abilene Trail, 5500 blk - East of Smokehouse Trail",,,799,1098,1897,2/19/2013 0:00
"Abilene Trail, 5500 blk - West of Chuck Wagon Trl",,,866,1153,2019,10/14/2008 0:00
"Abilene Trail, 5700 blk - North of Convict Hill",723,1055,,,1778,1/22/2007 0:00
"Abilene Trail, 5800 blk - North of Hawkeye Dr",899,955,,,1854,10/14/2008 0:00
"Abilene Trl, 5500 blk - East of Smokehouse Trl",,,779,1098,1877,2/19/2013 0:00
"Acadamy Dr, 100 blk - East of South Congress Ave",,,986,893,1879,5/16/2001 0:00
"Adams Ave, 5500 blk - North of Burnet Rd",182,186,,,368,1/4/2013 0:00
"Adams Ave, 5700 blk - South of Ullrich Ave",226,195,,,421,1/14/2013 0:00
"Adams Ave, 5700 blk - South of Ullrich Ave",226,195,,,421,4/17/2013 0:00
"Adirondack Trl, 8500 blk- North of Appalachian Trl",943,800,,,1743,2/22/2012 0:00
"Aftonshire Way, 2800 blk - East of Nightjar Dr",,,787,747,1534,11/29/2007 0:00
"Aftonshire Way, 3000 blk - West of Night Jar Dr",,,818,796,1614,4/1/2008 0:00
"Aftonshire Way, 3000 blk - West of Night Jar Dr",,,755,689,1444,9/19/2007 0:00
"Airport Blvd, 1100 blk - North of Oak Springs Dr",19429,16606,,,36035,5/1/2003 0:00
"Airport Blvd, 3900 blk - South of Antone St",16387,14530,,,30917,3/9/2010 0:00
"Airport Blvd, 4200 blk - South of Wilshire Blvd",18732,17004,,,35736,11/28/2006 0:00
"Airport Blvd, 4300 blk - South of Rowood Rd",15593,15106,,,30699,3/9/2010 0:00
"Airport Blvd, 5000 blk - South of E. 51st St",13985,14639,,,28624,2/14/2001 0:00
"Airport Blvd, 5300 blk - North of E. 53rd 1/2 St",13130,14474,,,27604,3/20/2001 0:00
"Airport Blvd, 6200 blk - North of Denson Dr",12219,11230,,,23449,8/7/2001 0:00
"Airport Blvd, 800 blk - South of Shady Ln",11360,9870,,,21230,12/1/2011 0:00
"Airport Commerce Dr, 1600 blk - North of John Glenn Dr",628,790,,,1418,7/9/2014 0:00
"Alameda Dr, 1400 blk - North of Milan Pl",206,154,,,360,4/11/2001 0:00
"Albata Ave, 2500 blk - West of Dougherty St",,,135,122,257,1/23/2003 0:00
"Alcott Ln, 2700 blk - West of Gwendolyne Ln",,,399,498,897,2/14/2013 0:00
"Alcott Ln, 2700 blk - West of Gwendolynn Ln",,,399,498,897,2/14/2013 0:00
"Aldrich St, (@ Airport Blvd) - East of Airport Blvd",,,3053,4690,7743,2/22/2010 0:00
"Alexander Ave, 2100 blk - South of E. 22nd St",641,843,,,1484,10/1/2008 0:00
"Alexandria Dr, 4200 blk - West of Washita",,,725,732,1457,2/7/2011 0:00
"Algarita Ave, 1300 blk - West of IH35 WSR",,,353,468,821,4/26/2001 0:00
"Allen St, 600 blk - South of Hildalgo St",327,356,,,683,9/30/2008 0:00
"Allendale Rd, (RM2222) 2700 blk - East of Shoal Creek Blvd",,,12841,12325,25166,2/4/2002 0:00
"Allred Dr, 2200 blk - East of Riddle Rd",,,114,45,159,1/22/2003 0:00
"Alpine Rd East, 3600 blk - West of Willow Springs Rd",,,1615,873,2488,2/16/2010 0:00
"Alpine Rd West, 400 blk - West of Tallison Terrace",,,719,812,1531,10/1/2007 0:00
"Alsatia Dr, 2800 blk - West of Garrick Creek Ln",,,637,689,1326,11/18/2010 0:00
"Alsatia Dr, 2800 blk - West of Garrick Creek Ln",,,660,706,1366,10/2/2012 0:00
Alta Vista Ave 1100 Blk - North of Rutherford Pl,108,132,,,240,4/26/2001 0:00
"Alta Vista Ave, 2000 blk - North of Algarita Ave",417,49,,,466,1/27/2003 0:00
"Alta Vista Ave, 2100 blk - North of East Live Oak St",537,61,,,598,1/27/2003 0:00
"Alum Rock Dr, 7800 blk - South of Colton-Bluff Springs Rd",1371,1213,,,2584,1/7/2004 0:00
"Alvin Devane Blvd, 2800 blk - South of E. Oltorf St",3163,,,,3163,4/11/2005 0:00
"Aly May Dr, 10000 blk - South of Tillerfield Dr",158,210,,,368,3/18/2014 0:00
"Amberly Place, 6200 blk - East of Rain Creek Pkwy",,,96,93,189,9/26/2012 0:00
